"Name","Team","Position","ETR Rank","ETR Pos Rank","ADP","ADP Pos Rank","ADP Differential","Id"
"Christian McCaffrey","SF","RB","1","RB1","1.3","RB1","0.3","830517"
"CeeDee Lamb","DAL","WR","2","WR1","3.1","WR2","1.1","1062020"
"Ja'Marr Chase","CIN","WR","3","WR2","5.3","WR4","2.3","1109979"
"Tyreek Hill","MIA","WR","4","WR3","2.3","WR1","-1.7","823156"
"Amon-Ra St. Brown","DET","WR","5","WR4","4.8","WR3","-0.2","1127106"
"Justin Jefferson","MIN","WR","6","WR5","6.3","WR5","0.3","1069535"
"Bijan Robinson","ATL","RB","7","RB2","6.8","RB2","-0.2","1228244"
"Breece Hall","NYJ","RB","8","RB3","7.2","RB3","-0.8","1162537"
"A.J. Brown","PHI","WR","9","WR6","9.1","WR6","0.1","944826"
"Puka Nacua","LAR","WR","10","WR7","12.4","WR8","2.4","1162128"
"Garrett Wilson","NYJ","WR","11","WR8","10.2","WR7","-0.8","1164889"
"Drake London","ATL","WR","12","WR9","17.0","WR10","5.0","1178741"
"Marvin Harrison Jr.","ARI","WR","13","WR10","13.3","WR9","0.3","1287828"
"Jahmyr Gibbs","DET","RB","14","RB4","14.7","RB6","0.7","1214154"
"Davante Adams","LV","WR","15","WR11","21.7","WR14","6.7","611417"
"Chris Olave","NO","WR","16","WR12","24.0","WR15","8.0","1122592"
"Cooper Kupp","LAR","WR","17","WR13","18.6","WR12","1.6","698227"
"Malik Nabers","NYG","WR","18","WR14","28.0","WR18","10.0","1286059"
"Nico Collins","HOU","WR","19","WR15","19.3","WR13","0.3","1074698"
"Jaylen Waddle","MIA","WR","20","WR16","26.2","WR16","6.2","1125749"
"Jonathan Taylor","IND","RB","21","RB5","14.6","RB5","-6.4","1065406"
"Devonta Smith","PHI","WR","22","WR17","28.7","WR19","6.7","1060262"
"Saquon Barkley","PHI","RB","23","RB6","14.2","RB4","-8.8","883302"
"De'Von Achane","MIA","RB","24","RB7","20.0","RB7","-4.0","1231820"
"Brandon Aiyuk","SF","WR","25","WR18","32.6","WR21","7.6","1107034"
"Deebo Samuel","SF","WR","26","WR19","17.7","WR11","-8.3","835749"
"Mike Evans","TB","WR","27","WR20","26.4","WR17","-0.6","593587"
"D.J. Moore","CHI","WR","28","WR21","31.8","WR20","3.8","877790"
"Michael Pittman","IND","WR","29","WR22","36.1","WR23","7.1","911348"
"DK Metcalf","SEA","WR","30","WR23","34.1","WR22","4.1","945633"
"Kyren Williams","LAR","RB","31","RB8","21.4","RB8","-9.6","1167361"
"Stefon Diggs","HOU","WR","32","WR24","39.0","WR24","7.0","694041"
"Sam LaPorta","DET","TE","33","TE1","38.1","TE2","5.1","1168926"
"Travis Kelce","KC","TE","34","TE2","29.9","TE1","-4.1","448240"
"Tee Higgins","CIN","WR","35","WR25","48.8","WR29","13.8","978579"
"Josh Allen","BUF","QB","36","QB1","36.0","QB1","0.0","868199"
"Rashee Rice","KC","WR","37","WR26","48.1","WR28","11.1","1173538"
"Zay Flowers","BAL","WR","38","WR27","42.8","WR26","4.8","1177053"
"Isiah Pacheco","KC","RB","39","RB9","30.5","RB11","-8.5","1106832"
"Jalen Hurts","PHI","QB","40","QB2","39.9","QB2","-0.1","913271"
"Travis Etienne","JAX","RB","41","RB10","30.3","RB10","-10.7","978577"
"Christian Kirk","JAX","WR","42","WR28","54.6","WR31","12.6","865801"
"Derrick Henry","BAL","RB","43","RB11","23.0","RB9","-20.0","732145"
"Tank Dell","HOU","WR","44","WR29","41.0","WR25","-3.0","1128222"
"Josh Jacobs","GB","RB","45","RB12","41.8","RB12","-3.2","944416"
"Lamar Jackson","BAL","QB","46","QB3","45.0","QB4","-1.0","877745"
"Trey McBride","ARI","TE","47","TE3","46.5","TE3","-0.5","1108161"
"Amari Cooper","CLE","WR","48","WR30","46.1","WR27","-1.9","650914"
"Dalton Kincaid","BUF","TE","49","TE4","52.3","TE4","3.3","1135513"
"Rachaad White","TB","RB","50","RB13","50.5","RB14","0.5","1229343"
"Patrick Mahomes","KC","QB","51","QB4","41.2","QB3","-9.8","839031"
"James Cook","BUF","RB","52","RB14","47.2","RB13","-4.8","1131012"
"George Pickens","PIT","WR","53","WR31","50.0","WR30","-3.0","1172053"
"Keenan Allen","CHI","WR","54","WR32","59.5","WR33","5.5","557210"
"Chris Godwin","TB","WR","55","WR33","64.3","WR35","9.3","835127"
"Mark Andrews","BAL","TE","56","TE5","54.7","TE5","-1.3","820699"
"Kyle Pitts","ATL","TE","57","TE6","64.1","TE6","7.1","1123026"
"Terry McLaurin","WAS","WR","58","WR34","55.3","WR32","-2.7","836116"
"Xavier Worthy","KC","WR","59","WR35","67.8","WR37","8.8","1326638"
"Joe Mixon","HOU","RB","60","RB15","57.3","RB16","-2.7","820727"
"Kenneth Walker","SEA","RB","61","RB16","59.5","RB17","-1.5","1164402"
"George Kittle","SF","TE","62","TE7","65.7","TE7","3.7","733672"
"Rome Odunze","CHI","WR","63","WR36","80.7","WR41","17.7","1213727"
"Evan Engram","JAX","TE","64","TE8","73.7","TE8","9.7","749185"
"Alvin Kamara","NO","RB","65","RB17","57.3","RB15","-7.7","750846"
"Jayden Reed","GB","WR","66","WR37","67.4","WR36","1.4","1123398"
"Anthony Richardson","IND","QB","67","QB5","62.3","QB6","-4.7","1215022"
"Diontae Johnson","CAR","WR","68","WR38","74.8","WR38","6.8","891115"
"C.J. Stroud","HOU","QB","69","QB6","57.5","QB5","-11.5","1214084"
"Calvin Ridley","TEN","WR","70","WR39","61.9","WR34","-8.1","884013"
"David Montgomery","DET","RB","71","RB18","64.2","RB18","-6.8","946739"
"Brian Thomas","JAX","WR","72","WR40","91.5","WR46","19.5","1286064"
"Jaxon Smith-Njigba","SEA","WR","73","WR41","86.5","WR44","13.5","1214087"
"Keon Coleman","BUF","WR","74","WR42","75.4","WR39","1.4","1322431"
"Joe Burrow","CIN","QB","75","QB7","80.9","QB8","5.9","878785"
"Ladd McConkey","LAC","WR","76","WR43","94.1","WR48","18.1","1218643"
"Kyler Murray","ARI","QB","77","QB8","71.0","QB7","-6.0","879799"
"D'Andre Swift","CHI","RB","78","RB19","78.5","RB22","0.5","1069808"
"Christian Watson","GB","WR","79","WR44","77.5","WR40","-1.5","1067918"
"Rhamondre Stevenson","NE","RB","80","RB20","79.6","RB23","-0.4","1174682"
"Aaron Jones","MIN","RB","81","RB21","69.8","RB20","-11.2","741314"
"Marquise Brown","KC","WR","82","WR45","84.0","WR43","2.0","976220"
"Dak Prescott","DAL","QB","83","QB9","85.6","QB9","2.6","591816"
"James Conner","ARI","RB","84","RB22","69.1","RB19","-14.9","742390"
"Najee Harris","PIT","RB","85","RB23","90.8","RB26","5.8","973964"
"Jake Ferguson","DAL","TE","86","TE9","83.3","TE9","-2.7","1065361"
"Jayden Daniels","WAS","QB","87","QB10","93.9","QB11","6.9","1161228"
"Jameson Williams","DET","WR","88","WR46","83.8","WR42","-4.2","1175184"
"Josh Palmer","LAC","WR","89","WR47","109.1","WR53","20.1","1059612"
"Jaylen Warren","PIT","RB","90","RB24","87.4","RB25","-2.6","1176443"
"Zamir White","LV","RB","91","RB25","76.6","RB21","-14.4","1110697"
"Jordan Addison","MIN","WR","92","WR48","104.8","WR50","12.8","1214250"
"David Njoku","CLE","TE","93","TE10","90.2","TE10","-2.8","832098"
"Jordan Love","GB","QB","94","QB11","85.8","QB10","-8.2","912137"
"Caleb Williams","CHI","QB","95","QB12","100.1","QB12","5.1","1286445"
"Curtis Samuel","BUF","WR","96","WR49","91.3","WR45","-4.7","821389"
"Brock Bowers","LV","TE","97","TE11","97.4","TE11","0.4","1285917"
"DeAndre Hopkins","TEN","WR","98","WR50","106.7","WR51","8.7","560241"
"Raheem Mostert","MIA","RB","99","RB26","80.7","RB24","-18.3","606501"
"Tony Pollard","TEN","RB","100","RB27","93.9","RB27","-6.1","880398"
"Devin Singletary","NYG","RB","101","RB28","108.3","RB32","7.3","916466"
"Zack Moss","CIN","RB","102","RB29","103.1","RB29","1.1","913170"
"Trevor Lawrence","JAX","QB","103","QB13","117.1","QB16","14.1","1110711"
"Dallas Goedert","PHI","TE","104","TE12","112.4","TE12","8.4","791365"
"Courtland Sutton","DEN","WR","105","WR51","102.4","WR49","-2.6","838878"
"Brock Purdy","SF","QB","106","QB14","101.7","QB13","-4.3","1121761"
"Romeo Doubs","GB","WR","107","WR52","93.6","WR47","-13.4","1122653"
"Jonathon Brooks","CAR","RB","108","RB30","114.0","RB35","6.0","1326601"
"Rashid Shaheed","NO","WR","109","WR53","124.1","WR57","15.1","923412"
"Jakobi Meyers","LV","WR","110","WR54","120.4","WR55","10.4","880151"
"Tyjae Spears","TEN","RB","111","RB31","111.4","RB33","0.4","1169430"
"Tyler Lockett","SEA","WR","112","WR55","123.8","WR56","11.8","605242"
"Chase Brown","CIN","RB","113","RB32","97.8","RB28","-15.2","1123379"
"Javonte Williams","DEN","RB","114","RB33","103.5","RB30","-10.5","1107881"
"Tua Tagovailoa","MIA","QB","115","QB15","110.3","QB15","-4.7","973947"
"Brian Robinson","WAS","RB","116","RB34","112.5","RB34","-3.5","973966"
"Kirk Cousins","ATL","QB","117","QB16","128.8","QB17","11.8","403308"
"Khalil Shakir","BUF","WR","118","WR56","106.9","WR52","-11.1","1130603"
"Jerome Ford","CLE","RB","119","RB35","117.6","RB37","-1.4","1125737"
"Austin Ekeler","WAS","RB","120","RB36","108.2","RB31","-11.8","790004"
"Jerry Jeudy","CLE","WR","121","WR57","137.1","WR62","16.1","973935"
"Brandin Cooks","DAL","WR","122","WR58","117.2","WR54","-4.8","607864"
"Mike Williams","NYJ","WR","123","WR59","134.1","WR60","11.1","733754"
"Jared Goff","DET","QB","124","QB17","107.4","QB14","-16.6","727837"
"Gabe Davis","JAX","WR","125","WR60","131.7","WR59","6.7","976761"
"Gus Edwards","LAC","RB","126","RB37","126.1","RB39","0.1","739799"
"Dontayvion Wicks","GB","WR","127","WR61","124.9","WR58","-2.1","1172428"
"Blake Corum","LAR","RB","128","RB38","126.3","RB40","-1.7","1229540"
"Rico Dowdle","DAL","RB","129","RB39","122.6","RB38","-6.4","933480"
"Trey Benson","ARI","RB","130","RB40","131.3","RB41","1.3","1248031"
"Justin Herbert","LAC","QB","131","QB18","140.9","QB19","9.9","910562"
"Ezekiel Elliott","DAL","RB","132","RB41","131.8","RB42","-0.2","728338"
"Zach Charbonnet","SEA","RB","133","RB42","141.6","RB44","8.6","1164530"
"Darnell Mooney","ATL","WR","134","WR62","149.5","WR66","15.5","912027"
"Dalton Schultz","HOU","TE","135","TE13","122.2","TE13","-12.8","830523"
"Adam Thielen","CAR","WR","136","WR63","142.8","WR63","6.8","733643"
"Deshaun Watson","CLE","QB","137","QB19","149.6","QB22","12.6","828743"
"Matthew Stafford","LAR","QB","138","QB20","134.2","QB18","-3.8","323205"
"Aaron Rodgers","NYJ","QB","139","QB21","146.3","QB21","7.3","213957"
"Jahan Dotson","WAS","WR","140","WR64","136.1","WR61","-3.9","1121878"
"Pat Freiermuth","PIT","TE","141","TE14","130.7","TE14","-10.3","1116662"
"Baker Mayfield","TB","QB","142","QB22","143.6","QB20","1.6","748070"
"Sam Darnold","MIN","QB","143","QB23","192.4","QB30","49.4","880026"
"Nick Chubb","CLE","RB","144","RB43","117.5","RB36","-26.5","822857"
"Josh Downs","IND","WR","145","WR65","158.4","WR68","13.4","1215077"
"Ja'Lynn Polk","NE","WR","146","WR66","145.0","WR64","-1.0","1213881"
"Ty Chandler","MIN","RB","147","RB44","146.8","RB46","-0.2","1059576"
"Antonio Gibson","NE","RB","148","RB45","166.2","RB50","18.2","1107826"
"Cole Kmet","CHI","TE","149","TE15","134.9","TE15","-14.1","1066765"
"Taysom Hill","NO","TE","150","TE16","145.6","TE17","-4.4","503184"
"Wan'Dale Robinson","NYG","WR","151","WR67","164.7","WR69","13.7","1164875"
"Tyler Allgeier","ATL","RB","152","RB46","150.0","RB47","-2.0","1131198"
"T.J. Hockenson","MIN","TE","153","TE17","143.0","TE16","-10.0","923915"
"Geno Smith","SEA","QB","154","QB24","158.8","QB23","4.8","513856"
"Xavier Legette","CAR","WR","155","WR68","170.4","WR72","15.4","1180321"
"Chuba Hubbard","CAR","RB","156","RB47","144.0","RB45","-12.0","1062047"
"Adonai Mitchell","IND","WR","157","WR69","146.5","WR65","-10.5","1285908"
"Luke Musgrave","GB","TE","158","TE18","152.7","TE18","-5.3","1179790"
"Ray Davis","BUF","RB","159","RB48","171.7","RB52","12.7","1165229"
"Michael Wilson","ARI","WR","160","WR70","155.2","WR67","-4.8","1123529"
"Derek Carr","NO","QB","161","QB25","177.5","QB26","16.5","496083"
"Bucky Irving","TB","RB","162","RB49","166.3","RB51","4.3","1287923"
"Demario Douglas","NE","WR","163","WR71","181.7","WR77","18.7","1175693"
"Khalil Herbert","CHI","RB","164","RB50","173.9","RB53","9.9","935104"
"Jaleel McLaughlin","DEN","RB","165","RB51","160.6","RB49","-4.4","1271738"
"Marshawn Lloyd","GB","RB","166","RB52","175.4","RB55","9.4","1213414"
"Jaylen Wright","MIA","RB","167","RB53","153.9","RB48","-13.1","1286513"
"J.K. Dobbins","LAC","RB","168","RB54","140.2","RB43","-27.8","976513"
"Noah Fant","SEA","TE","169","TE19","184.7","TE24","15.7","923911"
"Will Levis","TEN","QB","170","QB26","162.9","QB24","-7.1","1116663"
"Rashod Bateman","BAL","WR","171","WR72","176.1","WR74","5.1","1108208"
"Demarcus Robinson","LAR","WR","172","WR73","169.2","WR71","-2.8","727279"
"Jalen Tolbert","DAL","WR","173","WR74","173.9","WR73","0.9","1066424"
"Malachi Corley","NYJ","WR","174","WR75","201.4","WR84","27.4","1215291"
"Hunter Henry","NE","TE","175","TE20","170.4","TE21","-4.6","744425"
"Greg Dortch","ARI","WR","176","WR76","192.2","WR81","16.2","910852"
"Tyler Conklin","NYJ","TE","177","TE21","173.5","TE22","-3.5","861278"
"Drake Maye","NE","QB","178","QB27","208.0","QB32","30.0","1286803"
"Jermaine Burton","CIN","WR","179","WR77","178.5","WR76","-0.5","1218631"
"Jalen McMillan","TB","WR","180","WR78","193.6","WR82","13.6","1213726"
"Justin Fields","PIT","QB","181","QB28","172.7","QB25","-8.3","1110681"
"Ricky Pearsall","SF","WR","182","WR79","167.4","WR70","-14.6","1161416"
"Kendre Miller","NO","RB","183","RB55","202.0","RB60","19.0","1213867"
"D.J. Chark","LAC","WR","184","WR80","191.0","WR80","7.0","822008"
"Cade Otton","TB","TE","185","TE22","155.1","TE19","-29.9","1049263"
"Braelon Allen","NYJ","RB","186","RB56","173.9","RB54","-12.1","1325231"
"Jordan Mason","SF","RB","187","RB57","202.2","RB61","15.2","1116001"
"Tyler Boyd","TEN","WR","188","WR81","188.4","WR79","0.4","742387"
"Isaiah Likely","BAL","TE","189","TE23","167.6","TE20","-21.4","1125111"
"Jalin Hyatt","NYG","WR","190","WR82","217.3","WR89","27.3","1232892"
"Ben Sinnott","WAS","TE","191","TE24","183.0","TE23","-8.0","1228920"
"Dameon Pierce","HOU","RB","192","RB58","192.2","RB58","0.2","1108998"
"Darius Slayton","NYG","WR","193","WR83","222.6","WR93","29.6","880557"
"Juwan Johnson","NO","TE","194","TE25","211.0","TE28","17.0","884609"
"Chigoziem Okonkwo","TEN","TE","195","TE26","197.1","TE26","2.1","1106374"
"Andrei Iosivas","CIN","WR","196","WR84","205.7","WR85","9.7","1124851"
"Jonnu Smith","MIA","TE","197","TE27","189.1","TE25","-7.9","743749"
"Tyrone Tracy","NYG","RB","198","RB59","189.9","RB57","-8.1","1109708"
"Marvin Mims","DEN","WR","199","WR85","187.9","WR78","-11.1","1213799"
"Bryce Young","CAR","QB","200","QB29","185.1","QB28","-14.9","1213257"
"Roschon Johnson","CHI","RB","201","RB60","203.3","RB62","2.3","1163265"
"Roman Wilson","PIT","WR","202","WR86","216.4","WR88","14.4","1229669"
"Colby Parkinson","LAR","TE","203","TE28","213.7","TE29","10.7","1060312"
"Quentin Johnston","LAC","WR","204","WR87","176.1","WR75","-27.9","1213865"
"Kimani Vidal","LAC","RB","205","RB61","187.0","RB56","-18.0","1214824"
"Bo Nix","DEN","QB","206","QB30","191.2","QB29","-14.8","1161899"
"Ray-Ray McCloud","ATL","WR","207","WR88","223.1","WR94","16.1","867759"
"Michael Mayer","LV","TE","208","TE29","228.1","TE40","20.1","1232592"
"Clyde Edwards-Helaire","KC","RB","209","RB62","224.6","RB71","15.6","976650"
"Josh Reynolds","DEN","WR","210","WR89","223.6","WR96","13.6","822367"
"Audric Estime","DEN","RB","211","RB63","209.3","RB65","-1.7","1321291"
"Samaje Perine","DEN","RB","212","RB64","229.9","RB84","17.9","820734"
"Javon Baker","NE","WR","213","WR90","218.0","WR90","5.0","1231136"
"Tank Bigsby","JAX","RB","214","RB65","211.1","RB66","-2.9","1215035"
"Dawson Knox","BUF","TE","215","TE30","221.1","TE32","6.1","884083"
"Luke McCaffrey","WAS","WR","216","WR91","200.7","WR83","-15.3","1164846"
"Daniel Jones","NYG","QB","217","QB31","179.9","QB27","-37.1","879981"
"Allen Lazard","NYJ","WR","218","WR92","223.2","WR95","5.2","837958"
"Greg Dulcich","DEN","TE","219","TE31","220.0","TE31","1.0","1128085"
"Cedrick Wilson","NO","WR","220","WR93","228.2","WR123","8.2","912061"
"Will Shipley","PHI","RB","221","RB66","213.3","RB67","-7.7","1287636"
"Treylon Burks","TEN","WR","222","WR94","228.1","WR121","6.1","1172024"
"Elijah Mitchell","SF","RB","223","RB67","198.2","RB59","-24.8","1050833"
"Kendrick Bourne","NE","WR","224","WR95","228.0","WR120","4.0","754412"
"Kalif Raymond","DET","WR","225","WR96","227.6","WR116","2.6","692660"
"Noah Brown","HOU","WR","226","WR97","226.7","WR111","0.7","836103"
"Mike Gesicki","CIN","TE","227","TE32","199.8","TE27","-27.2","836152"
"Elijah Moore","CLE","WR","228","WR98","224.4","WR97","-3.6","1128783"
"Theo Johnson","NYG","TE","229","TE33","225.2","TE33","-3.8","1214414"
"Jalen Nailor","MIN","WR","230","WR99","225.8","WR107","-4.2","1126817"
"Russell Wilson","PIT","QB","231","QB32","204.7","QB31","-26.3","401534"
"D'Onta Foreman","CLE","RB","232","RB68","224.7","RB72","-7.3","835443"
"Devontez Walker","BAL","WR","233","WR100","226.9","WR113","-6.1","1277914"
"Zay Jones","ARI","WR","234","WR101","219.4","WR91","-14.6","746491"
"Tre Tucker","LV","WR","235","WR102","228.4","WR124","-6.6","1164979"
"Justice Hill","BAL","RB","236","RB69","207.2","RB63","-28.8","923109"
"Dylan Laube","LV","RB","237","RB70","223.7","RB70","-13.3","1122182"
"Tim Patrick","DEN","WR","238","WR103","227.7","WR117","-10.3","838179"
"Keaton Mitchell","BAL","RB","239","RB71","225.8","RB73","-13.2","1222789"
"Jauan Jennings","SF","WR","240","WR104","209.1","WR86","-30.9","867009"
"A.T. Perry","NO","WR","241","WR105","229.7","WR127","-11.3","1109758"
"Kenneth Gainwell","PHI","RB","242","RB72","226.1","RB77","-15.9","1130705"
"Troy Franklin","DEN","WR","243","WR106","214.6","WR87","-28.4","1286176"
"Tucker Kraft","GB","TE","244","TE34","228.9","TE44","-15.1","1181874"
"K.J. Osborn","NE","WR","245","WR107","227.8","WR118","-17.2","881058"
